multiplier,processes,opt_time,unopt_time,speedup
1,1,1.0493903160095215,1.7394745349884033,1.657604904915685
1,2,0.8194994926452637,1.2271454334259033,1.4974328165412265
1,4,0.6856486797332764,0.9745302200317383,1.421325890120345
1,6,0.6700401306152344,0.9483904838562012,1.4154234060359698
1,8,0.6031343936920166,0.7750470638275146,1.2850321121353314
2,1,1.701857089996338,3.0687849521636963,1.8031977950453524
2,2,1.0610990524291992,1.8161754608154297,1.7115984192593672
2,4,0.9498460292816162,1.3593366146087646,1.431112593729378
2,6,0.7716758251190186,1.0441961288452148,1.353153869611199
2,8,0.7486841678619385,1.4271864891052246,1.9062597425840127
4,1,3.885084390640259,5.630475759506226,1.4492544288280769
4,2,1.700059175491333,3.1964776515960693,1.8802155228933473
4,4,1.1924879550933838,1.9070641994476318,1.5992314147091653
4,6,1.059431552886963,1.6878619194030762,1.5931769398444227
4,8,1.0121922492980957,1.4675405025482178,1.44986340644861
8,1,5.710859298706055,11.16456913948059,1.9549718449568907
8,2,3.123530626296997,5.7354021072387695,1.8361920510567218
8,4,1.9591081142425537,3.284092426300049,1.676320159375059
8,6,1.5488755702972412,2.5579168796539307,1.6514669923827687
8,8,1.254258394241333,3.239168643951416,2.582536946791336
16,1,11.051149606704712,21.510785818099976,1.9464749445658958
16,2,5.700839996337891,11.01645040512085,1.9324258200892508
16,4,3.293189287185669,6.990100383758545,2.122592956001088
16,6,2.5842604637145996,4.719290733337402,1.8261668278413097
16,8,2.1503496170043945,3.863157272338867,1.7965251984096187
32,1,21.44702386856079,42.71374750137329,1.9915932281861917
32,2,11.264390468597412,21.686159372329712,1.925195991100082
32,4,6.1138787269592285,13.28600788116455,2.1730898623454413
32,6,4.58960485458374,10.07201862335205,2.194528492641998
32,8,3.8876953125,7.649320125579834,1.9675719187625598
64,1,42.86988091468811,84.71582794189453,1.9761153083322218
64,2,21.631433963775635,42.91751837730408,1.9840348286283045
64,4,12.439772129058838,24.13131070137024,1.9398515062024657
64,6,10.668662786483765,18.397672653198242,1.7244591024571925
64,8,8.027738809585571,15.157827854156494,1.8881814934059882
