multiplier,processes,time
1,1,1.7394745349884033
1,2,1.2271454334259033
1,4,0.9745302200317383
1,6,0.9483904838562012
1,8,0.7750470638275146
2,1,3.0687849521636963
2,2,1.8161754608154297
2,4,1.3593366146087646
2,6,1.0441961288452148
2,8,1.4271864891052246
4,1,5.630475759506226
4,2,3.1964776515960693
4,4,1.9070641994476318
4,6,1.6878619194030762
4,8,1.4675405025482178
8,1,11.16456913948059
8,2,5.7354021072387695
8,4,3.284092426300049
8,6,2.5579168796539307
8,8,3.239168643951416
16,1,21.510785818099976
16,2,11.01645040512085
16,4,6.990100383758545
16,6,4.719290733337402
16,8,3.863157272338867
32,1,42.71374750137329
32,2,21.686159372329712
32,4,13.28600788116455
32,6,10.07201862335205
32,8,7.649320125579834
64,1,84.71582794189453
64,2,42.91751837730408
64,4,24.13131070137024
64,6,18.397672653198242
64,8,15.157827854156494
